company_id,year,capital_allocation
TORNTPHARM,2023,Excellent
TORNTPHARM,2024,Excellent
TRENT,2013,Poor
TRENT,2014,Poor
TRENT,2015,Weak
TRENT,2016,Poor
TRENT,2017,Weak
TRENT,2018,Weak
TRENT,2019,Weak
TRENT,2020,Weak
TRENT,2021,Poor
TRENT,2022,Poor
TRENT,2023,Excellent
TRENT,2024,Average
